"Module 1","Module 2","Count","Semester"
"ST2137","DSA4263",2,2020
"ST2334","DSA4263",0,2020
"ST3131","DSA4263",0,2020
"ST3232","DSA4263",3,2020
"ST3236&MA3238","DSA4263",0,2020
"ST3239","DSA4263",1,2020
"ST3241","DSA4263",0,2020
"ST3244","DSA4263",0,2020
"ST3246","DSA4263",0,2020
"ST3247","DSA4263",2,2020
"ST4232","DSA4263",0,2020
"ST4234","DSA4263",19,2020
"ST4238&MA4251","DSA4263",0,2020
"ST4242","DSA4263",0,2020
"ST4248","DSA4263",10,2020
"DSA2101","ST1232",0,2020
"DSA4212","ST1232",0,2020
"DSA4263","ST1232",0,2020
"ST1232","ST1232",141,2020
"ST2131&MA2216","ST1232",0,2020
"ST2132","ST1232",0,2020
"ST2137","ST1232",0,2020
"ST2334","ST1232",0,2020
"ST3131","ST1232",0,2020
"ST3232","ST1232",0,2020
"ST3236&MA3238","ST1232",1,2020
"ST3239","ST1232",0,2020
"ST3241","ST1232",0,2020
"ST3244","ST1232",0,2020
"ST3246","ST1232",0,2020
"ST3247","ST1232",0,2020
"ST4232","ST1232",0,2020
"ST4234","ST1232",0,2020
"ST4238&MA4251","ST1232",0,2020
"ST4242","ST1232",0,2020
"ST4248","ST1232",0,2020
"DSA2101","ST2131.MA2216",0,2020
"DSA4212","ST2131.MA2216",0,2020
"DSA4263","ST2131.MA2216",0,2020
"ST1232","ST2131.MA2216",0,2020
"ST2131&MA2216","ST2131.MA2216",398,2020
"ST2132","ST2131.MA2216",1,2020
"ST2137","ST2131.MA2216",12,2020
"ST2334","ST2131.MA2216",0,2020
"ST3131","ST2131.MA2216",1,2020
"ST3232","ST2131.MA2216",0,2020
"ST3236&MA3238","ST2131.MA2216",1,2020
"ST3239","ST2131.MA2216",0,2020
"ST3241","ST2131.MA2216",0,2020
"ST3244","ST2131.MA2216",1,2020
"ST3246","ST2131.MA2216",0,2020
"ST3247","ST2131.MA2216",1,2020
"ST4232","ST2131.MA2216",0,2020
"ST4234","ST2131.MA2216",0,2020
"ST4238&MA4251","ST2131.MA2216",0,2020
"ST4242","ST2131.MA2216",0,2020
"ST4248","ST2131.MA2216",0,2020
"DSA2101","ST2132",25,2020
"DSA4212","ST2132",0,2020
